model,split,epoch,accuracy
Xenova/all-MiniLM-L6-v2,train,29,0.9803895354270935
Xenova/all-MiniLM-L6-v2,val,29,0.3532710373401642
Xenova/all-MiniLM-L6-v2,test,29,0.5076923370361328
Xenova/all-MiniLM-L12-v2,train,0,0.522402286529541
Xenova/all-MiniLM-L12-v2,val,0,0.3937694728374481
Xenova/all-MiniLM-L12-v2,test,0,0.5185897350311279
Xenova/all-MiniLM-L12-v2,train,1,0.7898679375648499
Xenova/all-MiniLM-L12-v2,val,1,0.38629284501075745
Xenova/all-MiniLM-L12-v2,test,1,0.5634615421295166
Xenova/all-MiniLM-L12-v2,train,2,0.841209352016449
Xenova/all-MiniLM-L12-v2,val,2,0.3601246178150177
Xenova/all-MiniLM-L12-v2,test,2,0.5307692289352417
Xenova/all-MiniLM-L12-v2,train,3,0.8672205209732056
Xenova/all-MiniLM-L12-v2,val,3,0.37071651220321655
Xenova/all-MiniLM-L12-v2,test,3,0.5269230604171753
Xenova/all-MiniLM-L12-v2,train,4,0.8794770836830139
Xenova/all-MiniLM-L12-v2,val,4,0.35514017939567566
Xenova/all-MiniLM-L12-v2,test,4,0.5057692527770996
Xenova/all-MiniLM-L12-v2,train,5,0.8910527229309082
Xenova/all-MiniLM-L12-v2,val,5,0.3601246178150177
Xenova/all-MiniLM-L12-v2,test,5,0.5083333253860474
Xenova/all-MiniLM-L12-v2,train,6,0.9018113017082214
Xenova/all-MiniLM-L12-v2,val,6,0.3376947045326233
Xenova/all-MiniLM-L12-v2,test,6,0.4891025722026825
Xenova/all-MiniLM-L12-v2,train,7,0.9088928699493408
Xenova/all-MiniLM-L12-v2,val,7,0.358878493309021
Xenova/all-MiniLM-L12-v2,test,7,0.5128205418586731
Xenova/all-MiniLM-L12-v2,train,8,0.916110634803772
Xenova/all-MiniLM-L12-v2,val,8,0.3470405042171478
Xenova/all-MiniLM-L12-v2,test,8,0.5019230842590332
Xenova/all-MiniLM-L12-v2,train,9,0.9218303561210632
Xenova/all-MiniLM-L12-v2,val,9,0.35825544595718384
Xenova/all-MiniLM-L12-v2,test,9,0.5205128192901611
Xenova/all-MiniLM-L12-v2,train,10,0.9260520935058594
Xenova/all-MiniLM-L12-v2,val,10,0.3713395595550537
Xenova/all-MiniLM-L12-v2,test,10,0.4980769157409668
Xenova/all-MiniLM-L12-v2,train,11,0.9328612685203552
Xenova/all-MiniLM-L12-v2,val,11,0.361370712518692
Xenova/all-MiniLM-L12-v2,test,11,0.5121794939041138
Xenova/all-MiniLM-L12-v2,train,12,0.9368106126785278
Xenova/all-MiniLM-L12-v2,val,12,0.3601246178150177
Xenova/all-MiniLM-L12-v2,test,12,0.5089743733406067
Xenova/all-MiniLM-L12-v2,train,13,0.9408961534500122
Xenova/all-MiniLM-L12-v2,val,13,0.36822429299354553
Xenova/all-MiniLM-L12-v2,test,13,0.5147435665130615
Xenova/all-MiniLM-L12-v2,train,14,0.947024405002594
Xenova/all-MiniLM-L12-v2,val,14,0.350155770778656
Xenova/all-MiniLM-L12-v2,test,14,0.5032051205635071
Xenova/all-MiniLM-L12-v2,train,15,0.9464796781539917
Xenova/all-MiniLM-L12-v2,val,15,0.35389408469200134
Xenova/all-MiniLM-L12-v2,test,15,0.5211538672447205
Xenova/all-MiniLM-L12-v2,train,16,0.9517908692359924
Xenova/all-MiniLM-L12-v2,val,16,0.3570093512535095
Xenova/all-MiniLM-L12-v2,test,16,0.5269230604171753
Xenova/all-MiniLM-L12-v2,train,17,0.9536974430084229
Xenova/all-MiniLM-L12-v2,val,17,0.35077881813049316
Xenova/all-MiniLM-L12-v2,test,17,0.5128205418586731
Xenova/all-MiniLM-L12-v2,train,18,0.9572382569313049
Xenova/all-MiniLM-L12-v2,val,18,0.34641745686531067
Xenova/all-MiniLM-L12-v2,test,18,0.5115384459495544
Xenova/all-MiniLM-L12-v2,train,19,0.9607790112495422
Xenova/all-MiniLM-L12-v2,val,19,0.3401869237422943
Xenova/all-MiniLM-L12-v2,test,19,0.5032051205635071
Xenova/all-MiniLM-L12-v2,train,20,0.963775098323822
Xenova/all-MiniLM-L12-v2,val,20,0.3532710373401642
Xenova/all-MiniLM-L12-v2,test,20,0.5198717713356018
Xenova/all-MiniLM-L12-v2,train,21,0.9635027050971985
Xenova/all-MiniLM-L12-v2,val,21,0.35264796018600464
Xenova/all-MiniLM-L12-v2,test,21,0.5096153616905212
